WindowSize,Modality,F1_samples_mean,F1_samples_std,AUROC_macro_mean,AUROC_macro_std,Kappa_macro_mean,Kappa_macro_std,Hamming_loss_mean,Hamming_loss_std,AUROC_Optimistic_mean,AUROC_Optimistic_std,AUROC_Curious_mean,AUROC_Curious_std,AUROC_Confused_mean,AUROC_Confused_std,AUROC_Conflicted_mean,AUROC_Conflicted_std,AUROC_Surprised_mean,AUROC_Surprised_std,AUROC_Disengaged_mean,AUROC_Disengaged_std,AUROC_Frustrated_mean,AUROC_Frustrated_std,AUROC_Engaged_mean,AUROC_Engaged_std
5s,prosody,0.0381916764713011,0.0444370964336848,0.45580161754581,0.0912185991940082,0.0209444438371163,0.0407849133436073,0.1376798203113624,0.0236691384434929,0.6078052959396977,0.1188928116319211,0.5218632753202684,0.1452178919452393,0.4806321991848307,0.1232102269723304,0.3988099256734456,0.1837706501794082,0.3721747602190653,0.2436824684860986,0.47434477124183,0.1353467324912939,0.317620487840445,0.0724659721379769,0.3367965367965368,0.2455715228560518
5s,text,0.03529772462521,0.0509895180751822,0.5600787894606211,0.0982815779928472,0.0209163585638562,0.0457594527738978,0.1356087050469326,0.0243575559617726,0.5096751844780834,0.100173081298311,0.580586347673336,0.1601593350676345,0.4513635519775871,0.1503139414265069,0.6354801553052473,0.2869343131914017,0.5759739997183242,0.1555369183191419,0.5854133986928104,0.1834110798881167,0.541272553786961,0.2036915496507975,0.8438722197342887,0.052958580507908
5s,combined,0.0177019124387545,0.0352482526497522,0.5622113337979692,0.0712797998583976,0.0138470353694985,0.0371797678586467,0.1363935725167416,0.0226583992523112,0.5540450847239771,0.1445760020248169,0.5797024653384303,0.182190767316473,0.4300012025012025,0.1334539107224768,0.6980820933190768,0.2665928259569655,0.5316032698673595,0.1624634360252744,0.5665277777777777,0.1476751418853701,0.5577416557297976,0.2499950443133292,0.7058043489077971,0.0898197081222638
10s,prosody,0.0299655275430469,0.0624019034300616,0.4461394462685953,0.0587037854154577,-0.0005181765213217,0.0180820682898386,0.1380910659980427,0.0201042227071696,0.4637743632016112,0.1127422454219825,0.5022244956580626,0.1136648620432933,0.5070423728318466,0.1540829663365293,0.4176546242400614,0.172834261588547,0.4250671221655918,0.2545914284289123,0.4038161418821546,0.1948338299708495,0.3963078396699086,0.097554482958707,0.345223063973064,0.1405439565539065
10s,text,0.0353297649809277,0.0394081040691003,0.552061187599592,0.0536480153647917,0.0197116473229253,0.0462016219904721,0.1359558138627906,0.0220977324289335,0.5405197670688922,0.1128576458061254,0.614742310745481,0.159959532681247,0.5461158729725982,0.1292334546549966,0.6118672380897721,0.2116884356112084,0.5821020560294016,0.2318806092217737,0.5252127862350876,0.2227197870371505,0.432027972027972,0.1306393697641687,0.428398569023569,0.2493572435006656
10s,combined,0.0338061307053555,0.0403024842242926,0.5339492804005688,0.0597798938713276,0.0189692145493964,0.0412094541591267,0.1365944678444678,0.0236675556265425,0.5422184603665207,0.1354662790638908,0.5763445790470724,0.1941768595969318,0.5632725083017481,0.1204436292751877,0.5832910641425134,0.2258486693715843,0.5546648550724638,0.2185667461467469,0.5128369795324351,0.1969261935793173,0.4060007234145164,0.0995539119315147,0.3529741863075196,0.2515847932187747
20s,prosody,0.0787,0.1167,0.4793,0.0425,,,0.1531,0.0174,,,,,,,,,,,,,,,,
20s,text,0.0283,0.0373,0.5476,0.0494,,,0.1535,0.0179,,,,,,,,,,,,,,,,
20s,combined,0.0283,0.0373,0.5282,0.058,,,0.15,0.0171,,,,,,,,,,,,,,,,
